2024 Taxable Income,Other Income,Capital Gains (All Pre–Jun 25),Capital Gains (>$250K Post–Jun 24),Canadian Dividends (Eligible),Canadian Dividends (Non-Eligible)
25000,23.79,11.9,15.86,-0.11,13.54
29590,24.32,12.16,16.21,0.62,14.14
55867,30.48,15.24,20.32,9.12,21.23
59180,35.98,17.99,23.99,16.71,27.55
74199,37.7,18.85,25.13,19.09,29.53
93000,37.17,18.59,24.78,18.35,28.92
111733,38.0,19.0,25.33,19.5,29.88
150000,43.5,21.75,29.0,27.09,36.2
173205,47.0,23.5,31.33,31.92,40.23
246752,50.32,25.16,33.55,36.5,44.05
