,NOC_CNP,NOC_Title_eng,prov,ER_Code_Code_RE,ER_Name,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Average_Wage_Salaire_Moyen,Revision_Date_Date_revision,Annual_Wage_Flag_Salaire_annuel,Non_WageBen_pct
0,NOC_00010,Legislators,NAT,ER00,Canada,32360.0,84000.0,184000.0,97600.0,2024-12-03,1,62.8
1,NOC_00010,Legislators,NL,ER10,Newfoundland and Labrador,,99000.0,,90000.0,2024-12-03,1,
6,NOC_00010,Legislators,PEI,ER1110,Prince Edward Island,,100000.0,,110000.0,2024-12-03,1,
7,NOC_00010,Legislators,NS,ER12,Nova Scotia,32360.0,94000.0,158000.0,94000.0,2024-12-03,1,
8,NOC_00010,Legislators,NS,ER1210,Cape Breton,,50800.0,,74000.0,2024-12-03,1,
12,NOC_00010,Legislators,NS,ER1250,Halifax,,103000.0,,114000.0,2024-12-03,1,
13,NOC_00010,Legislators,NB,ER13,New Brunswick,34800.0,68000.0,150000.0,78000.0,2024-12-03,1,
14,NOC_00010,Legislators,NB,ER1310,Campbellton--Miramichi,,72000.0,,74000.0,2024-12-03,1,
15,NOC_00010,Legislators,NB,ER1320,Moncton--Richibucto,,72000.0,,84000.0,2024-12-03,1,
19,NOC_00010,Legislators,QC,ER24,Quebec,41200.0,96000.0,184000.0,102800.0,2024-12-03,1,41.8
22,NOC_00010,Legislators,QC,ER2420,Capitale-Nationale,,99000.0,,104000.0,2024-12-03,1,
23,NOC_00010,Legislators,QC,ER2425,Chaudière-Appalaches,,65500.0,,88000.0,2024-12-03,1,
26,NOC_00010,Legislators,QC,ER2435,Montérégie,38000.0,97000.0,200000.0,112000.0,2024-12-03,1,
27,NOC_00010,Legislators,QC,ER2440,Montréal,65500.0,116000.0,184000.0,119000.0,2024-12-03,1,
28,NOC_00010,Legislators,QC,ER2445,Laval,,96000.0,,104000.0,2024-12-03,1,
29,NOC_00010,Legislators,QC,ER2450,Lanaudière,,81000.0,,116000.0,2024-12-03,1,
30,NOC_00010,Legislators,QC,ER2455,Laurentides,,79000.0,,92000.0,2024-12-03,1,
31,NOC_00010,Legislators,QC,ER2460,Outaouais,,95000.0,,106000.0,2024-12-03,1,
33,NOC_00010,Legislators,QC,ER2470,Mauricie,,64000.0,,62000.0,2024-12-03,1,
34,NOC_00010,Legislators,QC,ER2475,Saguenay--Lac-Saint-Jean,,91000.0,,100000.0,2024-12-03,1,
35,NOC_00010,Legislators,QC,ER2480,Côte-Nord,,83000.0,,80000.0,2024-12-03,1,
37,NOC_00010,Legislators,ON,ER35,Ontario,36708.0,80000.0,186000.0,98600.0,2024-12-03,1,
38,NOC_00010,Legislators,ON,ER3510,Ottawa,56800.0,118000.0,198000.0,123000.0,2024-12-03,1,
39,NOC_00010,Legislators,ON,ER3515,Kingston--Pembroke,,68500.0,,88000.0,2024-12-03,1,
40,NOC_00010,Legislators,ON,ER3520,Muskoka--Kawarthas,,70000.0,,84000.0,2024-12-03,1,
41,NOC_00010,Legislators,ON,ER3530,Toronto,50000.0,119000.0,204000.0,126400.0,2024-12-03,1,
42,NOC_00010,Legislators,ON,ER3540,Kitchener--Waterloo--Barrie,36708.0,82000.0,176000.0,94000.0,2024-12-03,1,
43,NOC_00010,Legislators,ON,ER3550,Hamilton--Niagara Peninsula,,101000.0,,108000.0,2024-12-03,1,
44,NOC_00010,Legislators,ON,ER3560,London,,73500.0,,88000.0,2024-12-03,1,
45,NOC_00010,Legislators,ON,ER3570,Windsor--Sarnia,,54400.0,,74000.0,2024-12-03,1,
47,NOC_00010,Legislators,ON,ER3590,Northeast,,50400.0,,61000.0,2024-12-03,1,
48,NOC_00010,Legislators,ON,ER3595,Northwest,36708.0,52800.0,95000.0,50400.0,2024-12-03,1,
49,NOC_00010,Legislators,MB,ER46,Manitoba,34374.0,70000.0,154000.0,88000.0,2024-12-03,1,
54,NOC_00010,Legislators,MB,ER4650,Winnipeg,,99000.0,,148000.0,2024-12-03,1,
57,NOC_00010,Legislators,MB,ER4680,North,,52400.0,,53000.0,2024-12-03,1,
58,NOC_00010,Legislators,SK,ER47,Saskatchewan,33955.0,73500.0,154000.0,88800.0,2024-12-03,1,
59,NOC_00010,Legislators,SK,ER4710,Regina--Moose Mountain,,92000.0,,102000.0,2024-12-03,1,
61,NOC_00010,Legislators,SK,ER4730,Saskatoon--Biggar,,72500.0,,108000.0,2024-12-03,1,
63,NOC_00010,Legislators,SK,ER4750,Prince Albert,,72500.0,,73000.0,2024-12-03,1,
65,NOC_00010,Legislators,AB,ER48,Alberta,34800.0,93000.0,192000.0,106400.0,2024-12-03,1,
68,NOC_00010,Legislators,AB,ER4830,Calgary,,138000.0,,130000.0,2024-12-03,1,
71,NOC_00010,Legislators,AB,ER4860,Edmonton,40400.0,126000.0,190000.0,122000.0,2024-12-03,1,
72,NOC_00010,Legislators,AB,ER4870,Athabasca--Grande Prairie--Peace River,32867.0,75000.0,128000.0,79000.0,2024-12-03,1,
73,NOC_00010,Legislators,AB,ER4880,Wood Buffalo--Cold Lake,,75000.0,,116000.0,2024-12-03,1,
74,NOC_00010,Legislators,BC,ER59,British Columbia,36973.0,76000.0,166000.0,87600.0,2024-12-03,1,
75,NOC_00010,Legislators,BC,ER5910,Vancouver Island and Coast,36973.0,72500.0,132000.0,76500.0,2024-12-03,1,
76,NOC_00010,Legislators,BC,ER5920,Lower Mainland,36973.0,87000.0,184000.0,104000.0,2024-12-03,1,
77,NOC_00010,Legislators,BC,ER5930,Thompson--Okanagan,,62400.0,,80000.0,2024-12-03,1,
81,NOC_00010,Legislators,BC,ER5970,Nechako,,80000.0,,100000.0,2024-12-03,1,
83,NOC_00010,Legislators,YK,ER6010,Yukon Territory,,97000.0,,96000.0,2024-12-03,1,
84,NOC_00010,Legislators,NWT,ER6110,Northwest Territories,,124000.0,,120000.0,2024-12-03,1,
85,NOC_00010,Legislators,NU,ER6210,Nunavut,,153000.0,,136000.0,2024-12-03,1,
11782,NOC_31110,Dentists,NAT,ER00,Canada,32360.0,110000.0,228000.0,124000.0,2024-12-03,1,39.7
11783,NOC_31110,Dentists,NL,ER10,Newfoundland and Labrador,,180000.0,,264000.0,2024-12-03,1,
11784,NOC_31110,Dentists,NL,ER1010,Avalon Peninsula,,180000.0,,290000.0,2024-12-03,1,
11789,NOC_31110,Dentists,NS,ER12,Nova Scotia,,126000.0,,138000.0,2024-12-03,1,
11794,NOC_31110,Dentists,NS,ER1250,Halifax,,159000.0,,142000.0,2024-12-03,1,
11795,NOC_31110,Dentists,NB,ER13,New Brunswick,,132000.0,,152000.0,2024-12-03,1,
11801,NOC_31110,Dentists,QC,ER24,Quebec,32389.0,106000.0,228000.0,122600.0,2024-12-03,1,
11804,NOC_31110,Dentists,QC,ER2420,Capitale-Nationale,,129000.0,,138000.0,2024-12-03,1,
11805,NOC_31110,Dentists,QC,ER2425,Chaudière-Appalaches,,46800.0,,92000.0,2024-12-03,1,
11808,NOC_31110,Dentists,QC,ER2435,Montérégie,32400.0,96000.0,188000.0,109000.0,2024-12-03,1,
11809,NOC_31110,Dentists,QC,ER2440,Montréal,32389.0,111000.0,306000.0,134000.0,2024-12-03,1,
11810,NOC_31110,Dentists,QC,ER2445,Laval,,90000.0,,88000.0,2024-12-03,1,
